,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
7421,International School of Cosmetology,3.0,0.0,0.0,0.0,10556.0,15135.5,0.59047619,0.620269740799787,0.6961114103049724,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,3
7422,ATEP at IVC,1.0,0.0,0.0,0.0,7066.0,10000.0,0.578947368,0.647058824,0.75,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,3
7423,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7424,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7425,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7426,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7427,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7428,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7429,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7430,Marinello School of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7431,Marinello School of Beauty-El Cajon,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7432,Marinello Schools of Beauty-Victorville,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7433,Marinello Schools of Beauty-Anaheim,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7434,Marinello Schools of Beauty,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7435,Marinello Schools of Beauty-Lomita,3.0,0.0,0.0,0.0,9464.0,10555.0,0.350995234,0.43020595,0.508320726,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7436,Marinello School of Beauty-Chico,3.0,0.0,0.0,0.0,6713.5,10221.5,0.407322654,0.641509434,0.680555556,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7437,Marinello School of Beauty,3.0,0.0,0.0,0.0,6713.5,10221.5,0.407322654,0.641509434,0.680555556,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7438,Marinello School of Beauty-Fresno,3.0,0.0,0.0,0.0,6713.5,10221.5,0.407322654,0.641509434,0.680555556,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7439,Mount St. Mary's College - Doheny Campus,2.0,0.0,0.0,0.0,21500.0,25000.0,0.846416382,0.829721362,0.880434783,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,1
7440,San Joaquin General Hospital School of Radiation Technology,1.0,0.0,0.0,0.0,6125.0,8750.0,0.297468354,0.385078219,0.503289474,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7441,San Joaquin Valley College,3.0,0.0,0.0,0.0,14000.0,19648.5,0.426538462,0.470743743,0.558685446,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7442,San Joaquin Valley College-Online,3.0,0.0,0.0,0.0,14000.0,19648.5,0.426538462,0.470743743,0.558685446,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7443,Jesuit School of Theology of Santa Clara University,2.0,0.0,0.0,0.0,19500.0,20500.0,0.946601942,0.966777409,0.96492986,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,1
7444,Pinnacle College-Sacramento,3.0,0.0,0.0,0.0,9500.0,9500.0,0.434343434,0.428571429,0.5,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7445,Marinello School of Beauty,3.0,0.0,0.0,0.0,8200.0,10181.0,0.585903084,0.5,0.603773585,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7446,Marinello Schools of Beauty-Visalia,3.0,0.0,0.0,0.0,8200.0,10181.0,0.585903084,0.5,0.603773585,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7447,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7448,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7449,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7450,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7451,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7452,United Education Institute,3.0,0.0,0.0,0.0,9500.0,9500.0,0.209610605,0.257034632,0.365506329,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7453,UEI,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7454,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7455,UEI College,3.0,0.0,0.0,0.0,9500.0,9500.0,0.33348135,0.362393794,0.463690873,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7456,Colorado Technical University,3.0,0.0,0.0,0.0,15834.0,35500.0,0.433425623,0.476865296,0.557142857,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7457,Marinello School of Beauty-Hamden,3.0,0.0,0.0,0.0,8500.0,9833.0,0.439453125,0.482269504,0.554794521,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7458,Marinello School of Beauty-Fairfield,3.0,0.0,0.0,0.0,8500.0,9833.0,0.439453125,0.482269504,0.554794521,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
7459,Marinello School of Beauty-Willimantic,3.0,0.0,0.0,0.0,8500.0,9833.0,0.439453125,0.482269504,0.554794521,0.5560809561542526,37.5539372972973,-90.528723003003,17921.935411020775,0.0,0.5593483426558103,2
