,INSTNM,CONTROL,PREDDEG,MENONLY,WOMENONLY,DEBT_MDN,GRAD_DEBT_MDN,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT,C150_L4,LATITUDE,LONGITUDE,NPT4_PRIV,HSI,C150_L4_POOLED,Cluster
1568,University of Maine at Presque Isle,1,3,0.0,0.0,10640.0,22012.5,0.690021231,0.736641221,0.725252525,,46.6724,-68.0165,,0.0,,2
1569,University of New England,2,3,0.0,0.0,20955.0,27000.0,0.887931034,0.888466413,0.917470525,,43.4582,-70.3859,29631.0,0.0,,2
1570,Northern Maine Community College,1,2,0.0,0.0,7500.0,12000.0,0.602661597,0.642701525,0.675824176,0.3025,46.6947,-68.0348,,0.0,0.353444658,3
1571,Empire Beauty School-Maine,3,1,0.0,0.0,6406.0,9083.0,0.454248366,0.480769231,0.540880503,0.5543,43.6679,-70.2582,13109.0,0.0,0.55500445,0
1572,Maine College of Art,2,3,0.0,0.0,19500.0,27000.0,0.87804878,0.843478261,0.88627451,,43.6537,-70.262,29009.0,0.0,,2
1573,Saint Joseph's College of Maine,2,3,0.0,0.0,15683.5,27000.0,0.909657321,0.915789474,0.91424196,,43.8265,-70.4835,26575.0,0.0,,2
1574,Spa Tech Institute-Westbrook,3,1,0.0,0.0,6333.0,6333.0,0.724230254,0.772727273,0.806521739,0.8261,43.6777,-70.3342,11871.0,0.0,0.69675082,0
1575,Southern Maine Community College,1,2,0.0,0.0,7125.0,12500.0,0.683081811,0.72259887,0.768227623,0.1294,43.6473,-70.2281,,0.0,0.154883957,3
1576,University of Southern Maine,1,3,0.0,0.0,17000.0,24250.0,0.850015689,0.853408339,0.89380787,,43.6626,-70.276,,0.0,,2
1577,Thomas College,2,3,0.0,0.0,18059.5,23000.0,0.799116998,0.788617886,0.823170732,,44.524,-69.6629,18621.0,0.0,,2
1578,Unity College,2,3,0.0,0.0,24500.0,27000.0,0.856088561,0.836538462,0.912921348,,44.6032,-69.3323,21733.0,0.0,,2
1579,Washington County Community College,1,1,0.0,0.0,5141.5,6250.0,0.612244898,0.724637681,0.655405405,0.3514,45.1655,-67.2433,,0.0,0.402385207,3
1580,Aaron's Academy of Beauty,3,1,0.0,0.0,5701.0,6710.0,0.405405405,0.627118644,0.694915254,0.6957,38.6114,-76.902,9385.0,0.0,0.692335897,0
1581,Aesthetics Institute of Cosmetology,3,1,0.0,0.0,6333.0,6750.0,0.704545455,,,0.7692,39.151,-77.2059,16407.0,0.0,0.793081034,0
1582,Allegany College of Maryland,1,2,0.0,0.0,9500.0,14478.0,0.645967166,0.691470054,0.733490566,0.1807,39.6527,-78.7298,,0.0,0.191803052,3
1583,Anne Arundel Community College,1,2,0.0,0.0,7000.0,10625.0,0.622612086,0.652014652,0.72970297,0.1562,39.0498,-76.5122,,0.0,0.150940906,3
1584,TESST College of Technology-Towson,3,1,0.0,0.0,9319.0,9500.0,0.296072508,0.27129751,0.402240326,0.6267,39.4018,-76.5724,21598.0,0.0,0.656929977,1
1585,Award Beauty School,3,1,0.0,0.0,7500.0,10500.0,0.28271028,0.323450135,0.432142857,0.5034,39.6404,-77.7203,14065.0,0.0,0.526886538,1
1586,Baltimore Studio of Hair Design,3,1,0.0,0.0,5500.0,6995.0,0.176165803,0.25477707,0.287958115,0.8,39.2935,-76.62,11038.0,0.0,0.774798198,1
1587,Baltimore City Community College,1,2,0.0,0.0,,,,,,0.0505,39.32,-76.6629,,0.0,0.044988468,3
1588,University of Baltimore,1,3,0.0,0.0,16000.0,20500.0,0.684303351,0.713075061,0.836861768,,39.3058,-76.6166,,0.0,,2
1589,Bowie State University,1,3,0.0,0.0,16500.0,23320.0,0.486977589,0.583009079,0.688919477,,39.0182,-76.7597,,0.0,,1
1590,Capitol College,2,3,0.0,0.0,13250.0,23000.0,0.872180451,0.752293578,0.9,,39.047,-76.8514,19406.0,0.0,,2
1591,Cecil College,1,2,0.0,0.0,5500.0,10500.0,0.610223642,0.666666667,0.711627907,0.1085,39.6422,-75.9559,,0.0,0.108371239,3
1592,College of Southern Maryland,1,2,0.0,0.0,5500.0,9500.0,0.663309353,0.710691824,0.725146199,0.1407,38.5596,-77.0093,,0.0,0.122660241,3
1593,Chesapeake College,1,2,0.0,0.0,,,,,,0.1253,38.9518,-76.0831,,0.0,0.127289886,3
1594,Washington Adventist University,2,3,0.0,0.0,25000.0,31250.0,0.647969052,0.71827957,0.762068966,,38.9872,-77.0013,16853.0,0.0,,2
1595,Coppin State University,1,3,0.0,0.0,12250.0,19031.0,0.414336918,0.490392648,0.577464789,,39.3108,-76.6585,,0.0,,1
1596,Delmarva Beauty Academy,3,1,0.0,0.0,12000.0,13200.0,0.515789474,0.482352941,0.539325843,0.9,38.3387,-75.5999,17840.0,0.0,0.842115789,0
1597,North American Trade Schools,3,1,0.0,0.0,8086.0,9866.0,0.284194529,0.286713287,0.318548387,0.6912,39.3095,-76.7494,17965.0,0.0,0.669718182,1
1598,Frederick Community College,1,2,0.0,0.0,5500.0,8500.0,0.699004975,0.811074919,0.761565836,0.2128,39.4522,-77.4178,,0.0,0.225874587,3
1599,Frostburg State University,1,3,0.0,0.0,16750.0,22617.5,0.792588165,0.817142857,0.858310627,,39.6515,-78.9339,,0.0,,2
1600,Garrett College,1,2,0.0,0.0,6688.5,12290.0,0.497340426,0.597484277,0.679577465,0.2579,39.5607,-79.3433,,0.0,0.245587719,3
